Ano,Órgão Orçamentário,Função,Grupo de Despesa,Resultado Primário,Subfunção,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
Total,,,,,,1.450.445.433.311,1.320.014.525.616,1.418.354.560.225,1.328.682.771.366,1.135.211.696.137,1.102.747.377.012
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,3.171.677.325,3.171.677.325,3.304.253.833,3.208.513.729,3.208.513.729,3.198.127.077
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,122.982.983,339.555.314,339.555.314,7.819.538,30.000,0
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,365 - Educação Infantil,3.500.000.000,3.500.000.000,3.500.000.000,2.681.159.284,94.381.343,94.381.343
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,2.581.487.850,2.581.937.850,2.592.923.850,2.392.473.849,649.702.571,649.099.604
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,847 - Transferências para a Educação Básica,479.200.000,479.200.000,479.200.000,479.200.000,25.667.889,25.667.889
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,10.064.000,9.050.694,5.359.303,2.537.202,1.707.775
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,363 - Ensino Profissional,0,20.517.000,20.573.000,10.835.462,2.378.303,2.081.551
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,364 - Ensino Superior,0,91.874.000,93.867.300,64.177.750,11.776.897,9.245.792
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,368 - Educação Básica,0,90.407.550,90.870.550,68.319.978,0,0
2014,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,58.855.663,59.055.663,45.411.020,0,0
2014,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,2.000.000,2.000.000,2.000.000,0,0,0
2014,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,26.415.761,26.415.761,29.588.172,17.108.908,15.600.000,15.494.400
2014,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,10.010.000,10.010.000,34.132.277,13.763.000,12.763.000,12.763.000
2014,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,120.400.000,120.400.000,174.008.595,120.000.000,0,0
2014,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,5 - Inversões Financeiras,0 - Financeira,694 - Serviços Financeiros,1.527.097.593,1.527.097.593,12.132.517.111,12.132.517.111,12.049.893.135,12.049.871.392
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,4.476.035.186,4.476.035.186,5.381.269.286,5.223.363.699,5.216.174.009,5.208.927.659
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,255.067.481,255.067.481,264.343.656,256.192.112,252.398.456,252.398.456
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,4.698.917.015,4.698.917.015,5.269.635.260,5.212.806.842,5.154.260.003,5.154.094.369
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,363 - Ensino Profissional,4.698.962.956,4.698.962.956,6.068.952.030,6.029.755.982,6.028.184.359,6.025.856.499
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,364 - Ensino Superior,16.600.291.273,16.600.291.273,17.912.793.817,17.769.139.737,17.756.081.248,17.752.578.992
2015,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,251.774.133,251.774.133,280.305.651,279.260.219,279.260.219,279.249.132
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,301 - Atenção Básica,588.598.869,588.598.869,558.143.748,530.106.026,525.205.407,522.828.585
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,3.790.436.284,3.790.436.284,3.775.436.284,3.771.412.786,3.764.635.272,3.763.567.604
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,1.435.888.789,1.435.888.789,1.537.930.745,1.495.130.161,1.491.190.125,1.491.134.718
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,594.000.000,594.000.000,574.000.000,573.960.334,573.528.618,573.528.618
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,14.834.682.269,14.834.682.269,14.184.839.781,14.148.291.472,11.762.266.373,11.762.266.373
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,709.660.195,709.660.195,723.491.971,628.403.576,488.991.977,486.911.775
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,123.927.221,123.927.221,121.755.098,73.410.875,61.904.863,57.547.848
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,31.000.000,31.000.000,31.000.000,23.117.623,15.940.235,15.940.235
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,610.514.339,612.514.339,764.044.060,617.930.454,487.267.960,455.305.345
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,3.000.000,3.000.000,3.000.000,0,0,0
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,6.307.956.787,6.347.442.041,6.258.092.358,5.551.964.585,4.070.930.869,3.872.193.997
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,10.875.330.434,11.010.987.435,12.977.664.258,12.434.298.967,11.650.760.048,11.380.903.603
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,20.000.000,20.000.000,54.000.000,39.503.008,39.503.008,39.503.008
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,466.000.000,466.000.000,486.000.000,322.015.000,137.920.174,137.912.291
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,5.452.636.363,5.497.736.363,5.826.538.496,4.683.642.824,3.682.662.007,2.965.385.815
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,642.393.882,642.393.882,481.700.000,321.581.897,149.315.125,149.315.125
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,221.632.377,221.632.377,284.632.377,341.423.309,335.091.504,335.076.354
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,116.486.698,174.813.365,515.539.374,130.564.679,37.768.561,29.671.233
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,40.000.000,96.275.000,40.000.000,30.032.451,14.431.600,14.029.226
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,6.700.000,6.700.000,3.949.989,2.854.693,1.576.374
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,363 - Ensino Profissional,0,4.461.100,4.461.100,78.600,74.106,0
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,364 - Ensino Superior,0,38.256.581,39.756.581,14.526.359,5.601.970,3.774.777
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,368 - Educação Básica,0,13.834.600,13.834.600,3.789.417,0,0
2015,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,8.879.600,8.879.600,3.467.165,0,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,672.820.000,672.820.000,443.662.488,429.385.960,328.605.463,328.605.463
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,103.793.241,103.793.241,98.793.241,74.185.712,33.241.300,32.341.959
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,406.275,406.275,406.275,85.405,44.094,39.594
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,313.409.382,421.063.382,338.155.971,171.365.913,87.220.323,76.914.761
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,1.462.531.925,1.667.790.441,1.689.017.356,837.428.933,319.546.826,218.399.500
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,2.792.085.288,3.501.871.984,3.333.100.575,1.343.094.219,637.579.094,497.004.943
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,85.404.156,260.688.157,249.276.478,35.538.114,10.952.831,9.800.269
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,50.000,50.000,50.000,0,0,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,178.000.000,288.949.333,338.949.333,204.718.053,1.917.655,382.662
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,365 - Educação Infantil,3.882.610.000,3.882.610.000,3.771.283.588,403.003.628,10.116.392,10.116.392
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,2.598.190.000,2.656.915.000,2.135.650.880,1.806.663.917,188.725.766,188.725.766
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,847 - Transferências para a Educação Básica,479.200.000,479.200.000,479.200.000,0,0,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,122 - Administração Geral,0,2.000.000,2.000.000,0,0,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,13.814.600,13.814.600,6.733.229,562.557,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,363 - Ensino Profissional,0,30.095.700,30.095.700,11.173.131,655.801,1.942
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,364 - Ensino Superior,0,106.098.360,104.598.360,38.810.240,4.580.781,1.625.039
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,368 - Educação Básica,0,97.555.000,97.555.000,31.763.993,0,0
2015,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,37.437.600,37.437.600,14.644.771,212.000,12.402
2015,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,2.000.000,2.000.000,0,0,0,0
2015,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,10.089.825,10.089.825,19.089.825,750.000,750.000,200.000
2015,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,12.500.000,12.500.000,19.100.000,6.000.000,6.000.000,6.000.000
2015,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,200.400.000,191.261.760,861.400.000,861.400.000,776.755.344,565.717.375
2015,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,5 - Inversões Financeiras,0 - Financeira,694 - Serviços Financeiros,12.389.786.541,12.389.786.541,16.589.786.541,16.589.786.531,13.933.373.913,13.933.373.913
2015,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,846 - Outros Encargos Especiais,0,0,400.000.000,400.000.000,0,0
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,5.339.252.769,5.339.252.769,5.936.337.924,5.650.997.393,5.647.632.148,5.635.444.820
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,280.411.420,271.322.187,276.424.124,259.309.913,259.309.249,259.309.249
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,6.014.331.155,5.913.298.240,6.254.879.725,6.202.817.838,6.114.337.905,6.113.965.369
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,363 - Ensino Profissional,5.787.477.733,5.669.854.081,7.157.020.206,7.109.445.351,7.107.278.734,7.106.789.592
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,364 - Ensino Superior,17.748.826.180,17.166.813.462,19.531.103.700,19.351.314.420,19.345.760.647,19.312.362.738
2016,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,277.423.161,268.009.999,309.105.310,308.518.786,308.518.786,308.494.736
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,301 - Atenção Básica,609.334.869,609.334.869,680.785.891,661.965.471,652.316.235,650.222.671
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,0,3.899.900.000,3.482.605.538,3.476.606.046,3.427.701.246,3.427.306.429
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,1.618.590.152,1.618.590.152,2.085.987.127,2.045.126.098,2.042.009.617,2.038.065.095
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,4.493.900.000,594.000.000,573.000.000,564.896.675,564.562.558,564.562.558
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,14.274.724.675,14.274.724.675,13.928.292.955,13.928.219.301,12.823.628.942,12.823.628.942
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,712.933.859,720.701.222,653.789.899,626.450.667,487.520.912,487.346.055
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,115.360.544,115.360.544,105.941.241,74.309.673,61.081.801,60.049.226
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,28.544.560,28.344.560,35.384.560,33.674.000,24.572.583,24.572.583
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,494.010.733,499.347.771,577.042.498,533.565.433,345.140.480,280.084.473
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,1.000.000,1.000.000,1.000.000,0,0,0
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,3.911.837.859,3.915.572.058,4.012.059.764,3.727.057.219,2.951.229.564,2.901.529.300
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,11.059.857.502,11.027.572.666,11.588.199.155,11.133.895.046,9.718.773.360,9.649.011.050
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,30.000.000,30.000.000,110.000.000,109.992.494,38.998.365,38.998.365
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,489.900.000,489.900.000,405.910.000,391.945.092,326.816.183,326.120.306
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,4.743.233.411,4.754.216.463,4.696.915.190,4.472.065.136,3.049.280.734,3.039.921.504
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,722.858.125,715.391.381,277.895.466,265.507.955,183.000.000,183.000.000
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,346.583.846,346.583.846,367.151.695,333.251.083,327.233.438,327.229.757
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,27.689.090,90.413.621,341.013.621,295.663.523,21.098.477,19.724.747
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,20.000.000,53.060.965,53.060.965,53.060.964,17.078.130,17.078.130
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,17.631.856,18.631.856,17.795.999,9.638.343,5.512.733
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,363 - Ensino Profissional,0,4.488.000,4.288.000,1.657.575,588.746,139.132
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,364 - Ensino Superior,0,31.532.490,35.094.085,26.939.708,11.382.681,8.129.403
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,368 - Educação Básica,0,19.563.654,19.813.654,15.104.155,19.214,6.992
2016,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,5.480.000,4.905.600,2.335.520,0,0
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,200.000.000,200.000.000,316.431.720,314.321.018,204.327.833,204.327.833
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,86.402.924,78.017.455,115.611.599,104.044.899,47.598.506,47.572.818
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,404.064,404.064,404.064,97.278,37.841,37.841
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,363.663.402,400.340.653,325.016.497,221.996.632,131.144.149,125.603.402
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,904.158.069,1.031.088.082,953.092.385,748.881.990,237.061.315,215.964.511
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,2.066.022.455,2.359.158.868,2.176.507.064,1.474.467.634,569.602.872,552.477.996
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,0,3.531.704,3.531.704,3.531.704,0,0
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,39.815.051,84.059.899,70.251.899,58.061.675,6.008.781,5.997.477
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,50.000,50.000,50.000,604,604,604
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,42.310.910,177.267.680,337.267.680,330.516.899,10.620.903,10.620.903
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,100.000.000,100.000.000,100.000.000,1.354.380,846.889
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,364 - Ensino Superior,0,117.750.903,117.750.903,116.999.567,2.240.041,408.116
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,365 - Educação Infantil,550.000.000,486.377.170,386.377.170,361.687.160,40.989.179,31.276.779
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,730.000.000,709.807.812,938.667.812,938.667.811,315.234.840,314.422.830
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,150.000.000,150.000.000,150.000.000,150.000.000,150.000.000
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,42.904.131,42.388.131,31.097.647,13.075.601,8.837.860
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,363 - Ensino Profissional,0,37.836.060,37.986.060,31.024.011,8.319.206,4.765.377
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,364 - Ensino Superior,0,115.071.077,112.382.885,91.988.473,14.272.849,9.016.164
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,365 - Educação Infantil,0,12.208.934,12.648.934,7.798.185,0,0
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,368 - Educação Básica,0,100.165.581,98.413.396,63.190.929,797.332,438.512
2016,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,6 - Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,52.592.491,53.405.673,36.857.520,2.483.329,2.483.329
2016,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,2.000.000,2.000.000,645.000,645.000,0,0
2016,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,9.003.000,9.003.000,3.000,0,0,0
2016,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,27.000.000,27.000.000,3.300.000,3.300.000,3.300.000,3.300.000
